marital_status,application_mode,application_order,course_department,daytime_evening_attendance,previous_qualification,previous_qualification_grade,mother_qualification,father_qualification,mother_occupation,father_occupation,admission_grade,displaced,educational_special_needs,debtor,tuition_fees_up_to_date,gender,scholarship_holder,age_at_enrollment,international,unemployment_rate,inflation_rate,gdp,target
single,General application,>3,Communication and design,daytime,Upper secondary education,122.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Service and Sales Workers,Elementary Occupations,127.3,yes,no,no,yes,male,no,20,no,10.8,1.4,1.74,Dropout
single,Other,1,Business and management,daytime,Upper secondary education,160.0,Upper secondary/Post secondary,Bachelor or equivalent,Technicians and Associate Professionals,Technicians and Associate Professionals,142.5,yes,no,no,no,male,no,19,no,13.9,-0.3,0.79,Graduate
single,General application,>3,Communication and design,daytime,Upper secondary education,122.0,Primary/Early education,Primary/Early education,Elementary Occupations,Elementary Occupations,124.8,yes,no,no,no,male,no,19,no,10.8,1.4,1.74,Dropout
single,General application,2,Communication and design,daytime,Upper secondary education,122.0,Lower secondary education,Primary/Early education,Service and Sales Workers,Technicians and Associate Professionals,119.6,yes,no,no,yes,female,no,20,no,9.4,-0.8,-3.12,Graduate
in union,Over 23,1,Social sciences and education,evening,Upper secondary education,100.0,Primary/Early education,Lower secondary education,Elementary Occupations,Elementary Occupations,141.5,no,no,no,yes,female,no,45,no,13.9,-0.3,0.79,Graduate
in union,Over 23,1,Business and management,evening,Upper secondary education,133.1,Primary/Early education,Primary/Early education,Elementary Occupations,Craft and Related Trades Workers,114.8,no,no,yes,yes,male,no,50,no,16.2,0.3,-0.92,Graduate
single,General application,1,Health sciences,daytime,Upper secondary education,142.0,Upper secondary/Post secondary,Lower secondary education,Craft and Related Trades Workers,Other,128.4,yes,no,no,yes,female,yes,18,no,15.5,2.8,-4.06,Graduate
single,General application,>3,Business and management,daytime,Upper secondary education,119.0,Primary/Early education,Primary/Early education,Elementary Occupations,Elementary Occupations,113.1,yes,no,no,no,male,no,22,no,15.5,2.8,-4.06,Dropout
single,General application,3,Social sciences and education,daytime,Upper secondary education,137.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Elementary Occupations,129.3,no,no,no,yes,female,yes,21,yes,16.2,0.3,-0.92,Graduate
single,General application,1,Social sciences and education,daytime,Upper secondary education,138.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Clerical Support Workers,Craft and Related Trades Workers,123.0,yes,no,yes,no,female,no,18,no,8.9,1.4,3.51,Dropout
single,General application,1,Business and management,daytime,Upper secondary education,139.0,Lower secondary education,Upper secondary/Post secondary,Service and Sales Workers,Craft and Related Trades Workers,130.6,yes,no,no,yes,female,no,18,no,13.9,-0.3,0.79,Graduate
single,General application,1,Health sciences,daytime,Upper secondary education,136.0,Upper secondary/Post secondary,Lower secondary education,Elementary Occupations,Elementary Occupations,119.3,yes,no,no,yes,female,yes,18,no,12.7,3.7,-1.7,Graduate
single,General application,2,Social sciences and education,daytime,Upper secondary education,133.0,Upper secondary/Post secondary,Primary/Early education,Clerical Support Workers,Elementary Occupations,130.2,yes,no,no,yes,female,no,19,no,12.7,3.7,-1.7,Dropout
single,Other,1,Business and management,daytime,Post-secondary non-tertiary education,110.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Clerical Support Workers,Craft and Related Trades Workers,111.8,yes,no,no,yes,female,yes,21,no,8.9,1.4,3.51,Graduate
single,General application,1,Health sciences,daytime,Upper secondary education,149.0,Lower secondary education,Primary/Early education,Service and Sales Workers,Service and Sales Workers,137.1,yes,no,no,yes,female,yes,18,no,10.8,1.4,1.74,Graduate
single,General application,1,Communication and design,daytime,Upper secondary education,127.0,Upper secondary/Post secondary,Primary/Early education,Elementary Occupations,Technicians and Associate Professionals,120.7,yes,no,no,yes,female,no,20,no,15.5,2.8,-4.06,Dropout
single,General application,1,Social sciences and education,daytime,Upper secondary education,137.0,Upper secondary/Post secondary,Lower secondary education,Service and Sales Workers,Plant and Machine Operators and Assemblers,137.4,yes,no,no,yes,female,no,18,no,10.8,1.4,1.74,Enrolled
single,General application,2,Health sciences,daytime,Upper secondary education,135.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Service and Sales Workers,Clerical Support Workers,127.3,yes,no,no,yes,female,no,18,no,15.5,2.8,-4.06,Graduate
single,General application,1,Engineering and applied sciences,daytime,Upper secondary education,137.0,Bachelor or equivalent,Upper secondary/Post secondary,Technicians and Associate Professionals,Service and Sales Workers,136.3,yes,no,no,yes,female,no,20,no,10.8,1.4,1.74,Graduate
single,General application,1,Social sciences and education,daytime,Upper secondary education,140.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Craft and Related Trades Workers,Craft and Related Trades Workers,124.6,yes,no,no,yes,female,no,18,no,16.2,0.3,-0.92,Enrolled
single,General application,3,Communication and design,daytime,Upper secondary education,122.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Plant and Machine Operators and Assemblers,120.3,no,no,no,yes,female,yes,21,no,11.1,0.6,2.02,Graduate
single,General application,>3,Health sciences,daytime,Upper secondary education,127.0,Upper secondary/Post secondary,Lower secondary education,Clerical Support Workers,Craft and Related Trades Workers,121.8,yes,no,no,yes,female,no,20,no,12.7,3.7,-1.7,Enrolled
single,General application,>3,Health sciences,daytime,Upper secondary education,142.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Managers,Managers,125.5,yes,no,no,yes,female,no,18,no,12.7,3.7,-1.7,Graduate
single,General application,>3,Business and management,daytime,Upper secondary education,125.0,Upper secondary/Post secondary,Lower secondary education,Clerical Support Workers,Craft and Related Trades Workers,114.9,yes,no,no,yes,female,yes,19,no,11.1,0.6,2.02,Graduate
